customer_id,transaction_amount,transaction_sequence,fraud
177,444.86,9,0
178,1619.75,13,0
179,4325.23,1,0
180,3290.01,18,1
181,275.75,17,0
182,1812.09,16,0
183,3128.92,2,0
184,1021.77,18,0
185,659.41,10,0
186,2193.39,16,0
187,611.52,20,0
188,3997.57,6,0
189,1557.2,1,0
190,2763.5,3,0
191,1127.38,4,0
192,2309.93,4,0
193,3240.31,5,0
194,2494.39,10,0
195,2546.82,9,0
196,2080.37,16,0
197,4901.32,8,0
198,2286.65,5,0
199,1921.01,20,0
200,2543.66,5,0
201,4320.81,9,0
202,3864.51,14,0
203,3939.65,9,0
204,4103.64,10,0
205,3631.62,19,1
206,3301.4,5,0
207,2235.5,16,0
208,1728.89,18,0
209,3815.55,13,1
210,1612.28,7,0
211,4903.97,8,0
212,2861.13,8,0
213,4280.78,14,0
214,3724.8,13,0
215,3320.13,5,0
216,2479.17,2,0
217,635.6,19,0
218,1663.31,4,0
219,4371.58,15,0
220,4552.66,1,0
221,3613.61,14,1
222,4849.93,3,0
223,2350.11,9,0
224,1696.11,13,0
225,3250.93,11,1
226,4297.41,13,1
227,3135.86,16,1
228,184.32,3,0
229,1177.68,10,0
230,4987.14,3,0
231,2172.69,4,0
232,3803.05,4,0
233,2221.17,10,0
234,4517.6,2,0
235,1625.25,2,0
236,1470.37,12,0
237,2156.28,8,0
238,2658.18,19,0
239,3410.59,6,0
240,854.07,3,0
241,3049.41,13,1
242,1207.94,19,0
243,719.87,15,0
244,3191.33,15,0
245,51.94,15,0
246,4506.54,18,0
247,2211.44,12,0
248,4938.32,10,0
249,3196.5,14,1
250,2286.89,10,0
251,1000.09,13,0
252,4267.41,4,0
253,1189.84,19,0
254,1798.0,10,0
255,4963.5,10,0
256,114.59,13,0
257,1376.03,19,0
258,4326.01,2,0
259,4553.53,16,1
260,4515.16,8,0
261,3037.29,12,0
262,954.71,9,0
263,3390.43,5,0
264,3143.1,2,0
265,1548.12,15,0
266,171.66,12,0
267,3663.14,3,0
268,4548.59,11,1
269,882.32,5,0
270,3933.63,12,1
271,4567.87,6,0
272,1288.57,16,0
273,4837.08,10,0
274,3734.06,11,1
275,2344.32,3,0
276,708.08,8,0
277,4301.4,13,1
278,4023.92,12,0
279,1975.9,9,0
280,2685.18,15,0
281,1846.09,9,0
282,2924.88,12,0
283,546.19,8,0
284,2360.03,20,0
285,4421.75,18,0
286,3052.36,3,0
287,3178.84,15,1
288,1514.44,14,0
289,587.8,2,0
290,4731.58,10,0
291,4979.66,4,0
292,490.47,18,0
293,682.64,15,0
294,1858.2,18,0
295,2098.54,5,0
296,4427.64,4,0
297,4169.3,20,1
298,4757.85,2,0
299,3452.95,7,0
300,2219.7,8,0
301,4277.97,4,0
302,4904.73,12,1
303,4889.32,12,0
304,1383.03,4,0
305,4745.31,15,0
306,1064.47,20,0
307,4855.61,2,0
308,3935.04,8,0
309,4944.16,19,0
310,4149.94,18,0
311,1083.68,8,0
312,1646.15,5,0
313,3944.28,20,0
314,4292.74,5,0
315,4937.7,18,0
316,876.61,1,0
317,663.36,12,0
318,3950.97,8,0
319,2946.32,1,0
320,875.36,2,0
321,638.16,14,0
322,2632.8,3,0
323,2383.85,12,0
324,2568.62,4,0
325,2262.77,8,0
326,4727.35,2,0
327,3637.58,17,0
328,3218.49,1,0
329,308.82,16,0
330,4237.26,14,1
331,2453.89,15,0
332,372.09,3,0
333,1613.95,5,0
334,333.08,9,0
335,3123.47,19,1
336,1629.3,20,0
337,2655.13,15,0
338,2530.23,14,0
339,500.4,4,0
340,4264.7,18,1
341,1079.04,15,0
342,4441.01,14,0
343,2270.23,14,0
344,3649.41,11,1
345,3327.21,12,1
346,3435.67,16,0
347,4159.7,3,0
348,2162.22,12,0
349,4059.79,18,0
350,4783.34,18,0
351,615.55,12,0
352,4368.67,14,1
353,3606.7,10,0
354,3004.05,12,0
355,2539.53,5,0
356,3285.4,8,0
357,4237.14,12,1
358,1840.97,9,0
359,2872.63,14,0
360,4226.55,20,1
361,3215.28,1,0
362,3046.93,9,0
363,149.62,9,0
364,3514.98,10,0
365,4608.08,12,0
366,4349.96,19,1
367,352.58,1,0
368,463.33,17,0
369,1079.59,14,0
370,2270.96,6,0
371,1853.42,11,0
372,3885.29,19,1
373,4417.29,5,0
374,791.26,20,0
375,253.56,3,0
376,1364.15,14,0
377,2430.88,15,0
378,2073.85,7,0
379,3775.94,4,0
380,1729.14,4,0
381,1419.82,19,0
382,2435.73,10,0
383,231.86,13,0
384,4922.31,2,0
385,43.4,10,0
386,4726.89,5,0
387,3821.98,10,0
388,1643.97,1,0
389,2489.44,14,0
390,882.6,13,0
391,2665.25,8,0
392,2503.81,12,0
393,365.02,2,0
394,2183.92,15,0
395,4606.21,11,1
396,2869.13,14,0
397,1451.13,13,0
398,109.18,11,0
399,863.51,20,0
400,2303.18,12,0
401,445.21,4,0
402,1220.37,19,0
403,2005.25,3,0
404,1981.85,10,0
405,3730.3,8,0
406,1668.68,6,0
407,386.51,4,0
408,2655.37,7,0
409,4530.08,12,0
410,4791.33,5,0
411,1185.16,5,0
412,1283.56,6,0
413,3013.98,3,0
414,889.84,16,0
415,2322.45,19,0
416,3800.59,15,1
417,4410.83,20,0
418,4855.01,11,0
419,346.09,15,0
420,3158.77,9,0
421,2959.14,12,0
422,2539.15,10,0
423,2311.4,2,0
424,289.17,10,0
425,388.27,3,0
426,3076.97,17,0
427,2903.75,2,0
428,2251.42,19,0
429,3260.93,11,1
430,2509.33,2,0
431,2255.36,11,0
432,4912.02,3,0
433,2525.22,6,0
434,200.51,15,0
435,4954.98,17,1
436,797.94,12,0
437,4590.09,13,1
438,1695.14,20,0
439,266.57,11,0
440,334.23,4,0
441,2792.03,13,0
442,1424.31,20,0
443,4367.03,11,0
444,3319.74,12,0
445,3281.99,13,0
446,3545.63,3,0
447,1551.36,13,0
448,3219.25,11,1
449,3352.23,17,0
450,3353.93,17,0
451,1816.18,6,0
452,4756.09,11,1
453,2433.92,8,0
454,4999.88,5,0
455,390.44,4,0
456,2540.91,18,0
457,4176.42,17,0
458,1687.14,20,0
459,659.59,13,0
460,775.49,6,0
461,4157.57,20,1
462,831.87,15,0
463,223.24,12,0
464,3383.43,8,0
465,4848.1,20,0
466,3743.94,15,0
467,1199.65,16,0
468,4520.35,7,0
469,1842.37,19,0
470,4922.28,15,1
471,3891.73,17,1
472,4831.51,7,0
473,4007.29,5,0
474,4365.64,2,0
475,3207.69,12,1
476,517.44,17,0
477,4256.57,10,0
478,423.96,6,0
479,1367.59,17,0
480,741.01,14,0
481,463.11,8,0
482,4084.43,12,1
483,2077.41,13,0
484,2512.53,8,0
485,1933.9,3,0
486,1877.69,1,0
487,1596.83,4,0
488,4196.69,11,1
489,692.31,10,0
490,4587.39,16,1
491,698.27,16,0
492,2245.76,1,0
493,4529.76,1,0
494,1283.34,5,0
495,2746.28,20,0
496,2641.22,4,0
497,3881.98,8,0
498,1509.25,2,0
499,1196.01,20,0
500,2288.28,4,0
